Station ID,Station Name Chinese,Station Name English,Duplicate IDS,Station Names missing,Latitude,Longitude,Lines
117,上海体育馆,Shanghai Indoor Stadium,117|401,Shanghai Indoor Stadium,31.182786,121.437272,1|4
401,上海体育馆,Shanghai Indoor Stadium,117|401,Shanghai Indoor Stadium,31.182786,121.437272,1|4
1051,上海图书馆,Shanghai Library,,Shanghai Library,31.208057,121.444278,10
126,上海火车站,Shanghai Railway Station,126|323|410,Shanghai Railway Station,31.24986,121.457935,1|3|4
323,上海火车站,Shanghai Railway Station,126|323|410,Shanghai Railway Station,31.24986,121.457935,1|3|4
410,上海火车站,Shanghai Railway Station,126|323|410,Shanghai Railway Station,31.24986,121.457935,1|3|4
250,上海科技馆,Shanghai Science and Technology Museum,,Shanghai Science and Technology Museum,31.219641,121.54291,2
115,上海南站,Shanghai South Railway Station,115|311,Shanghai South Railway Station,31.154832,121.430449,1|3
311,上海南站,Shanghai South Railway Station,115|311,Shanghai South Railway Station,31.154832,121.430449,1|3
426,上海体育场,Shanghai Stadium,,Shanghai Stadium,31.182778,121.437268,4
1150,上海游泳馆,Shanghai Swimming Center,,,31.179461,121.441461,11
727,上海大学,Shanghai University,,Shanghai University,31.320565,121.388824,7
1044,上海动物园,Shanghai Zoo,,Shanghai Zoo,31.190233,121.368168,10
623,上南路,Shangnan Road,,Shangnan Road,31.148835,121.506475,6
820,沈杜公路,Shendu highway,,Shendu Highway,31.061386,121.512244,8
1250,申江路,Shenjiang Road,,,31.280192,121.626778,12
924,佘山,Sheshan,,Sheshan,31.104468,121.229723,9
849,市光路,Shiguang Road,,Shiguang Road,31.322762,121.53195,8
312,石龙路,Shilong Road,,Shilong Road,31.157928,121.443194,3
335,水产路,Shuichan Road,,Shuichan Road,31.381407,121.488172,3
1046,水城路,Shuicheng Road,,Shuicheng Road,31.199432,121.392076,10
1631,书院,Shuyuan,,,30.95955,121.850027,16
925,泗泾,Sijing,,Sijing,31.11832,121.260453,9
841,四平路,Siping Road,841|1061,Siping Road,31.274878,121.501483,8|10
1061,四平路,Siping Road,841|1061,Siping Road,31.274878,121.501483,8|10
334,淞滨路,Songbin Road,,Songbin Road,31.371012,121.492842,3
332,淞发路,Songfa Road,,Songfa Road,31.345143,121.500421,3
237,淞虹路,Songhong Road,,Songhong Road,31.218195,121.359476,2
918,松江南站,Songjiang South Railway Station,,Songjiang South Railway Station,30.984531,121.230176,9
920,松江体育中心,Songjiang Sports Center,,Songjiang Sports Center,31.015552,121.230504,9
922,松江大学城,Songjiang University Town,,Songjiang University Town,31.054112,121.232633,9
921,松江新城,Songjiang Xincheng,,Songjiang Xincheng,31.030342,121.230777,9
1048,宋园路,Songyuan Road,,Songyuan Road,31.196434,121.411705,10
331,长江南路,South Changjiang Road,,South Changjiang Road,31.331949,121.491481,3
122,黄陂南路,South Huangpi Road,,South Huangpi Road,31.222725,121.473295,1
